"Relação de Alunos Desistência dos Cursos – PG
Bacharelado em Ciência da Computação 
Tecnologia Em Análise E Desenvolvimento De Sistemas",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
#,id,Ano Ingresso,Per. Ingresso,Curso,Forma de Ingresso,Tipo de Cota,Sigla Cota,Escola Pública?,Coeficiente,Escore Vest,Nota Enem,Sexo,Idade,Data Nascimento,Cidade,Estado,Grupo (Étnico),Situação Atual do Aluno,Período do Aluno,Ano Desistência,Período Desistências
70,4n1da8,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,43044",,"611,6",M,63,06/09/1956,Ponta Grossa,PR,Parda,Desistente,1,2014,1
71,mhsa5c,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Cotista,Escola Pública,"0,3944",,"604,8",M,29,05/09/1990,Ponta Grossa,PR,Parda,Desistente,3,2014,1
72,bu+c9t,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,483",,"627,4",F,27,18/05/1992,Ponta Grossa,PR,Branca,Desistente,2,2014,1
73,jw93ff,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Pública,"0,57443",,"554,1",F,32,03/03/1987,Ponta Grossa,PR,Branca,Desistente,1,2014,1
74,pjkxwn,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Pública,"0,26881",,"541,2",M,27,19/03/1992,Ponta Grossa,PR,Branca,Desistente,1,2014,2
75,6m3xwn,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Pública,"0,3204",,530,M,26,28/12/1992,Ponta Grossa,PR,Branca,Mudou de Curso,2,2014,2
76,ajjbnz,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Cotista,Escola Pública,"0,52075",,"605,2",F,32,23/04/1987,Ponta Grossa,PR,Não declarado,Desistente,3,2014,2
77,1eqbnz,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,1556",,"616,7",M,26,24/11/1992,Ponta Grossa,PR,Não declarado,Desistente,1,2015,1
78,as1npx,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Cotista,Escola Pública,"0,2169",,"633,8",M,27,16/08/1992,Ponta Grossa,PR,Branca,Desistente,3,2015,1
79,htrp9t,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,7345",,"582,1",M,27,22/09/1992,Ponta Grossa,PR,Não declarado,Formado,8,2015,1
80,dwfrpx,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Cotista,Escola Pública,"0,7775",,"636,2",M,29,20/08/1990,Telêmaco Borba,PR,Branca,Formado,8,2015,1
81,jn8p9t,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Pública,"0,6024",,"649,5",M,31,13/07/1988,Ponta Grossa,PR,Branca,Formado,8,2015,2
82,+s73ff,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,4716",,"590,3",M,27,14/01/1992,Castro,PR,Parda,Mudou de Curso,5,2015,2
83,4kx3ow,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Cotista,Escola Pública,"0,506",,"641,4",M,26,27/10/1992,Ponta Grossa,PR,Branca,Mudou de Curso,7,2016,1
84,e94q9t,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Cotista,Escola Pública,"0,6492",,"656,6",M,27,23/03/1992,Divinópolis,MG,Parda,Desistente,7,2016,1
85,f+jaow,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,3508",,"469,4",F,27,11/02/1992,Itararé,SP,Branca,Desistente,1,2016,1
86,ne+3ff,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,2981",,"638,7",M,27,23/03/1992,Imbaú,PR,Não declarado,Desistente,2,2016,1
87,9iddnz,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,1024",,"665,3",M,27,30/04/1992,Ponta Grossa,PR,Branca,Desistente,2,2016,1
88,xa7a5c,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,4427",,"542,3",M,27,10/03/1992,Ponta Grossa,PR,Branca,Mudou de Curso,5,2017,1
89,8kqbnz,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,5025",,"591,9",M,27,24/08/1992,Indaiatuba,SP,Não declarado,Formado,8,2017,1
90,836own,2010,2,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Cotista,Escola Pública,"0,7777",,"653,7",M,27,01/07/1992,Paranaguá,PR,Não declarado,Desistente,8,2017,2
91,7bgiwn,2011,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Pública,0,,"637,4",M,28,15/04/1991,Ourinhos,SP,Não declarado,Desistente,1,2011,1
92,dmz7ff,2011,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Cotista,Escola Pública,0,,689,M,27,06/02/1992,Pirassununga,SP,Não declarado,Desistente,1,2011,1
93,rhoijk,2011,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Pública,"0,2478",,"616,9",M,27,19/03/1992,Itararé,SP,Não declarado,Desistente,1,2011,1
94,ynf+5c,2011,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Pública,0,,"621,9",M,26,01/06/1993,Curitiba,PR,Não declarado,Desistente,1,2011,1
95,9hbuwn,2011,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Cotista,Escola Pública,"0,28778",,"676,6",M,26,14/12/1992,Jaguariaíva,PR,Não declarado,Desistente,1,2011,2
96,+gnu9t,2011,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,1674",,"633,5",M,25,28/01/1994,Ponta Grossa,PR,Branca,Desistente,1,2011,2
97,grkfnz,2011,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Cotista,Escola Pública,"0,8096",,"641,6",M,27,01/10/1991,Ponta Grossa,PR,Não declarado,Desistente,2,2011,2
98,wqih5c,2011,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Cotista,Escola Pública,"0,5563",,"668,3",F,25,26/10/1993,Praia Grande,SP,Não declarado,Desistente,2,2011,2
99,s78fnz,2011,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,5041",,"689,9",F,26,11/05/1993,Ponta Grossa,PR,Branca,Desistente,2,2011,2
100,bcq7ow,2011,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Pública,"0,4711",,"633,2",M,52,17/07/1967,Ponta Grossa,PR,Parda,Desistente,2,2011,2
101,msaenz,2011,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Pública,"0,2874",,"617,7",F,31,12/10/1987,Ponta Grossa,PR,Não declarado,Desistente,1,2011,2
102,wz+gnz,2011,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,2622",,"614,2",F,28,15/01/1991,Capão Bonito,SP,Não declarado,Desistente,1,2011,2
103,x8ruwn,2011,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Cotista,Escola Pública,"0,54078",,643,M,27,05/05/1992,Teresina,PI,Não declarado,Desistente,1,2012,1
104,9u1swn,2011,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,41286",,"623,4",M,26,14/04/1993,Ourinhos,SP,Branca,Desistente,2,2012,2
105,4fruwn,2011,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Cotista,Escola Pública,"0,21879",,"640,3",M,26,17/02/1993,Ponta Grossa,PR,Parda,Desistente,1,2013,1
106,u3xja8,2011,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,418",,"652,2",M,28,05/02/1991,Ponta Grossa,PR,Branca,Desistente,2,2014,2
